1010    2    2 BGO
1011    2    4 BGO
1012    2    6 BGO
1013    2    8 BGO
1014    2   10 BGO
1015    1    2 GE
1016    1    4 GE
1017    1    6 GE
1018    1    8 GE
1019    1   10 GE
1020    3    2 SIDE
1021    3    4 SIDE
1022    3    6 SIDE
1023    3    8 SIDE
1024    3   10 SIDE
1025    4    2 AUX
1026    4    4 AUX
1027    4    6 AUX
1028    4    8 AUX
1029    4   10 AUX
1030    2   12 BGO
1031    2   14 BGO
1032    2   16 BGO
1033    2   18 BGO
1034    2   20 BGO
1035    1   12 GE
1036    1   14 GE
1037    1   16 GE
1038    1   18 GE
1039    1   20 GE
1040    3   12 SIDE
1041    3   14 SIDE
1042    3   16 SIDE
1043    3   18 SIDE
1044    3   20 SIDE
1045    4   12 AUX
1046    4   14 AUX
1047    4   16 AUX
1048    4   18 AUX
1049    4   20 AUX
1050    2   22 BGO
1051    2   24 BGO
1052    2   26 BGO
1053    2   28 BGO
1054    2   30 BGO
1055    1   22 GE
1056    1   24 GE
1057    1   26 GE
1058    1   28 GE
1059    1   30 GE
1060    3   22 SIDE
1061    3   24 SIDE
1062    3   26 SIDE
1063    3   28 SIDE
1064    3   30 SIDE
1065    4   22 AUX
1066    4   24 AUX
1067    4   26 AUX
1068    4   28 AUX
1069    4   30 AUX
1070    2   32 BGO
1071    2   34 BGO
1072    2   36 BGO
1073    2   38 BGO
1074    2   40 BGO
1075    1   32 GE
1076    1   34 GE
1077    1   36 GE
1078    1   38 GE
1079    1   40 GE
1080    3   32 SIDE
1081    3   34 SIDE
1082    3   36 SIDE
1083    3   38 SIDE
1084    3   40 SIDE
1085    4   32 AUX
1086    4   34 AUX
1087    4   36 AUX
1088    4   38 AUX
1089    4   40 AUX
1090    2   42 BGO
1091    2   44 BGO
1092    2   46 BGO
1093    2   48 BGO
1094    2   50 BGO
1095    1   42 GE
1096    1   44 GE
1097    1   46 GE
1098    1   48 GE
1099    1   50 GE
1100    3   42 SIDE
1101    3   44 SIDE
1102    3   46 SIDE
1103    3   48 SIDE
1104    3   50 SIDE
1105    4   42 AUX
1106    4   44 AUX
1107    4   46 AUX
1108    4   48 AUX
1109    4   50 AUX
1110    2   52 BGO
1111    2   54 BGO
1112    2   56 BGO
1113    2   58 BGO
1114    2   60 BGO
1115    1   52 GE
1116    1   54 GE
1117    1   56 GE
1118    1   58 GE
1119    1   60 GE
1120    3   52 SIDE
1121    3   54 SIDE
1122    3   56 SIDE
1123    3   58 SIDE
1124    3   60 SIDE
1125    4   52 AUX
1126    4   54 AUX
1127    4   56 AUX
1128    4   58 AUX
1129    4   60 AUX
1130    2   62 BGO
1131    2   64 BGO
1132    2   66 BGO
1133    2   68 BGO
1134    2   70 BGO
1135    1   62 GE
1136    1   64 GE
1137    1   66 GE
1138    1   68 GE
1139    1   70 GE
1140    3   62 SIDE
1141    3   64 SIDE
1142    3   66 SIDE
1143    3   68 SIDE
1144    3   70 SIDE
1145    4   62 AUX
1146    4   64 AUX
1147    4   66 AUX
1148    4   68 AUX
1149    4   70 AUX
1150    2   72 BGO
1151    2   74 BGO
1152    2   76 BGO
1153    2   78 BGO
1154    2   80 BGO
1155    1   72 GE
1156    1   74 GE
1157    1   76 GE
1158    1   78 GE
1159    1   80 GE
1160    3   72 SIDE
1161    3   74 SIDE
1162    3   76 SIDE
1163    3   78 SIDE
1164    3   80 SIDE
1165    4   72 AUX
1166    4   74 AUX
1167    4   76 AUX
1168    4   78 AUX
1169    4   80 AUX
1170    2   82 BGO
1171    2   84 BGO
1172    2   86 BGO
1173    2   88 BGO
1174    2   90 BGO
1175    1   82 GE
1176    1   84 GE
1177    1   86 GE
1178    1   88 GE
1179    1   90 GE
1180    3   82 SIDE
1181    3   84 SIDE
1182    3   86 SIDE
1183    3   88 SIDE
1184    3   90 SIDE
1185    4   82 AUX
1186    4   84 AUX
1187    4   86 AUX
1188    4   88 AUX
1189    4   90 AUX
1190    2   92 BGO
1191    2   94 BGO
1192    2   96 BGO
1193    2   98 BGO
1194    2  100 BGO
1195    1   92 GE
1196    1   94 GE
1197    1   96 GE
1198    1   98 GE
1199    1  100 GE
1200    3   92 SIDE
1201    3   94 SIDE
1202    3   96 SIDE
1203    3   98 SIDE
1204    3  100 SIDE
1205    4   92 AUX
1206    4   94 AUX
1207    4   96 AUX
1208    4   98 AUX
1209    4  100 AUX
1210    2  102 BGO
1211    2  104 BGO
1212    2  106 BGO
1213    2  108 BGO
1214    2  110 BGO
